occupationUri,skillUri,relationType,skillType
http://data.europa.eu/esco/occupation/O1,http://data.europa.eu/esco/skill/S1,essential,knowledge
http://data.europa.eu/esco/occupation/O1,http://data.europa.eu/esco/skill/S2,essential,knowledge
http://data.europa.eu/esco/occupation/O1,http://data.europa.eu/esco/skill/S7,essential,knowledge
http://data.europa.eu/esco/occupation/O1,http://data.europa.eu/esco/skill/S16,essential,knowledge
http://data.europa.eu/esco/occupation/O2,http://data.europa.eu/esco/skill/S2,essential,knowledge
http://data.europa.eu/esco/occupation/O2,http://data.europa.eu/esco/skill/S8,essential,knowledge
http://data.europa.eu/esco/occupation/O2,http://data.europa.eu/esco/skill/S17,optional,knowledge
http://data.europa.eu/esco/occupation/O3,http://data.europa.eu/esco/skill/S1,essential,knowledge
http://data.europa.eu/esco/occupation/O3,http://data.europa.eu/esco/skill/S6,essential,knowledge
http://data.europa.eu/esco/occupation/O3,http://data.europa.eu/esco/skill/S18,essential,knowledge
http://data.europa.eu/esco/occupation/O4,http://data.europa.eu/esco/skill/S1,essential,knowledge
http://data.europa.eu/esco/occupation/O4,http://data.europa.eu/esco/skill/S2,essential,knowledge
http://data.europa.eu/esco/occupation/O4,http://data.europa.eu/esco/skill/S14,essential,knowledge
http://data.europa.eu/esco/occupation/O5,http://data.europa.eu/esco/skill/S11,essential,knowledge
http://data.europa.eu/esco/occupation/O5,http://data.europa.eu/esco/skill/S12,essential,knowledge
http://data.europa.eu/esco/occupation/O5,http://data.europa.eu/esco/skill/S20,essential,knowledge
http://data.europa.eu/esco/occupation/O6,http://data.europa.eu/esco/skill/S1,essential,knowledge
http://data.europa.eu/esco/occupation/O6,http://data.europa.eu/esco/skill/S10,essential,knowledge
http://data.europa.eu/esco/occupation/O6,http://data.europa.eu/esco/skill/S13,essential,knowledge
http://data.europa.eu/esco/occupation/O7,http://data.europa.eu/esco/skill/S3,essential,skill
http://data.europa.eu/esco/occupation/O7,http://data.europa.eu/esco/skill/S4,essential,skill
http://data.europa.eu/esco/occupation/O7,http://data.europa.eu/esco/skill/S9,essential,skill
http://data.europa.eu/esco/occupation/O7,http://data.europa.eu/esco/skill/S15,essential,skill
